port_id,port_name,country_code,water_body,latitude,longitude
320,Husavik,Iceland,Greenland Sea; Arctic Ocean,66.033333,-17.333333
160,Bildudalur,Iceland,Denmark Strait; North Atlantic Ocean,65.683333,-23.6
70,Keflavik,Iceland,North Atlantic Ocean,64,-22.55
10050,Santa Lucia,Cuba,Gulf of Mexico; North Atlantic Ocean,22.66666667,-83.96666667
10962,Manzanillo,Dominican Republic,North Atlantic Ocean,19.71666667,-71.75
9930,Freeport,Bermuda,North Atlantic Ocean,32.31666667,-64.83333333
10190,Vita,Cuba,North Atlantic Ocean,21.1,-75.96666667
10030,Providenciales,Turks and Caicos Islands,North Atlantic Ocean,21.73333333,-72.28333333
11410,Charlestown,Saint Kitts and Nevis,Caribbean Sea; North Atlantic Ocean,17.133333,-62.633333
10370,Santiago De Cuba,Cuba,Caribbean Sea; North Atlantic Ocean,20.016667,-75.833333
23950,Brofjorden,Sweden,Skagerrak; North Atlantic Ocean,58.36027778,11.42111111
30230,Horsens,Denmark,Kattegat; North Atlantic Ocean,55.866667,9.85
24050,Halmstad,Sweden,Kattegat; North Atlantic Ocean,56.666667,12.866667
23600,Arendal,Norway,Skagerrak; North Atlantic Ocean,58.45388889,8.776944444
24030,Varberg,Sweden,Kattegat; North Atlantic Ocean,57.10888889,12.2325
30285,Studstrup,Denmark,Kattegat; North Atlantic Ocean,56.25,10.35
10772,Port Esquivel,Jamaica,Caribbean Sea; North Atlantic Ocean,17.883333,-77.133333
10320,Puerto Guantanamo,Cuba,Caribbean Sea; North Atlantic Ocean,19.983333,-75.133333
23700,Larvik,Norway,Skagerrak; North Atlantic Ocean,59.03805556,10.03111111
23750,Horten,Norway,Skagerrak; North Atlantic Ocean,59.416667,10.5
30330,Randers,Denmark,Kattegat; North Atlantic Ocean,56.466667,10.05
11400,Basseterre,Saint Kitts and Nevis,Caribbean Sea; North Atlantic Ocean,17.3,-62.716667
30260,Arhus,Denmark,Kattegat; North Atlantic Ocean,56.15,10.216667
47720,Port Louis,Mauritius,Indian Ocean,-20.15,57.5
10260,Nicaro,Cuba,North Atlantic Ocean,20.716667,-75.55
23830,Moss,Norway,Skagerrak; North Atlantic Ocean,59.44055556,10.65527778
23780,Drammen,Norway,Skagerrak; North Atlantic Ocean,59.733333,10.25
23990,Uddevalla,Sweden,Kattegat; North Atlantic Ocean,58.33472222,11.8775
10025,Cockburn Harbor,Turks and Caicos Islands,North Atlantic Ocean,21.5,-71.533333
23710,Sandefjorden,Norway,Skagerrak; North Atlantic Ocean,59.10055556,10.23305556
53655,Botany Bay,Australia,Tasman Sea; South Pacific Ocean,-34,151.233333
11010,Sanchez,Dominican Republic,North Atlantic Ocean,19.233333,-69.616667
53405,Hay Point,Australia,Coral Sea; South Pacific Ocean,-21.283333,149.3
9960,Hamilton,Bermuda,North Atlantic Ocean,32.3,-64.783333
23620,Tvedestrand,Norway,Skagerrak; North Atlantic Ocean,58.61166667,8.9425
11000,Santa Barbara De Samana,Dominican Republic,North Atlantic Ocean,19.2,-69.333333
10160,Puerto Padre,Cuba,North Atlantic Ocean,21.283333,-76.533333
30380,Hals,Denmark,Kattegat; North Atlantic Ocean,56.983333,10.316667
23720,Tonsberg,Norway,Skagerrak; North Atlantic Ocean,59.26222222,10.41
10280,Cayo Moa Grande,Cuba,North Atlantic Ocean,20.666667,-74.9
10630,Rio Bueno,Jamaica,Caribbean Sea; North Atlantic Ocean,18.466667,-77.466667
10020,Grand Turk,Turks and Caicos Islands,North Atlantic Ocean,21.433333,-71.15
30450,Hirtshals,Denmark,Skagerrak; North Atlantic Ocean,57.6,9.966667
30455,Hanstholm,Denmark,North Sea; North Atlantic Ocean,57.133333,8.6
30430,Frederikshavn,Denmark,Kattegat; North Atlantic Ocean,57.433333,10.55
23760,Holmestrand,Norway,Skagerrak; North Atlantic Ocean,59.49055556,10.32666667
11035,Andres (Andres Lng Terminal),Dominican Republic,Caribbean Sea; North Atlantic Ocean,18.433333,-69.633333
10585,Cayman Brac,Cayman Islands,Caribbean Sea; North Atlantic Ocean,19.75,-79.75
11620,Vieux Fort,Saint Lucia,Caribbean Sea; North Atlantic Ocean,13.716667,-60.966667
23810,Oslo,Norway,Skagerrak; North Atlantic Ocean,59.89805556,10.74555556
10120,Cardenas,Cuba,Straits of Florida; North Atlantic Ocean,23.05,-81.2
10610,Montego Bay,Jamaica,Caribbean Sea; North Atlantic Ocean,18.466667,-77.933333
23630,Risor,Norway,Skagerrak; North Atlantic Ocean,58.72194444,9.245277778
11390,Oranjestad,Caribbean Netherlands,Caribbean Sea; North Atlantic Ocean,17.483333,-62.983333
10550,Nueva Gerona,Cuba,Caribbean Sea; North Atlantic Ocean,21.916667,-82.8
53690,Port Kembla,Australia,Tasman Sea; South Pacific Ocean,-34.483333,150.916667
11075,Cabo Rojo,Dominican Republic,Caribbean Sea; North Atlantic Ocean,17.916667,-71.65
11690,Bridgetown,Barbados,North Atlantic Ocean,13.1,-59.633333
10775,Port Kaiser,Jamaica,Caribbean Sea; North Atlantic Ocean,17.866667,-77.6
